Sum_Parameter;Rotational speed [rpm];Torque [Nm];Tool wear [min];Air temperature [K];Process temperature [K];Machine failure
0;1671;30.6;20;301.9;311.0;0
0;1397;52.4;124;299.1;308.9;0
0;1451;43.0;183;302.6;312.0;0
0;1486;29.9;201;299.3;308.8;0
0;1469;42.7;23;299.6;310.2;0
0;1636;33.4;90;299.0;309.0;0
0;1533;32.1;144;299.8;311.2;0
0;1497;43.9;206;300.6;311.6;0
0;1487;42.9;9;298.9;310.2;0
0;1446;43.4;131;298.5;309.3;0
0;1368;56.5;168;302.6;312.1;0
0;1738;25.9;53;297.6;309.4;0
0;1366;52.6;99;301.9;310.8;0
0;1554;40.1;70;297.3;308.6;0
0;1561;32.7;25;300.9;310.4;0
0;1447;41.7;211;300.7;310.4;0
0;1530;38.5;93;297.4;308.5;0
0;1481;38.8;37;297.9;309.0;0
0;1697;31.4;173;301.4;310.5;0
0;1555;33.1;64;301.3;311.0;0
0;1479;46.6;145;298.8;309.8;0
0;1364;44.9;106;298.7;309.7;0
0;1602;31.8;80;299.6;310.9;0
0;1366;46.6;77;300.0;309.6;0
0;1805;44.6;13;297.2;308.3;0
0;1546;44.6;156;302.3;311.1;0
0;1490;42.6;127;301.0;312.3;0
0;1436;43.2;129;300.4;311.4;0
0;1512;36.9;141;297.5;308.4;0
0;1382;43.9;47;297.4;308.5;0
0;1564;38.9;119;303.9;313.1;0
0;1556;45.5;154;301.7;311.2;0
0;1470;46.8;196;303.7;312.7;0
0;1387;57.2;204;301.2;310.9;0
0;1566;35.7;100;297.3;308.1;0
0;1505;46.5;32;300.2;311.4;0
0;1466;42.6;96;299.0;308.7;0
0;1352;52.1;71;300.0;311.3;0
0;1504;40.4;35;297.6;309.0;0
0;1448;43.9;146;303.3;311.8;0
0;1675;29.6;98;297.8;309.0;0
0;1455;48.4;30;300.0;311.4;0
0;1505;39.6;0;298.0;309.1;0
0;1557;39.4;0;301.7;310.9;0
0;1462;48.3;0;303.6;312.4;0
0;1816;24.4;130;300.3;311.8;0
0;1457;51.7;110;301.7;310.5;0
0;1517;49.5;120;297.7;308.4;0
0;1571;31.2;192;300.3;311.7;0
0;1479;43.0;64;300.7;310.8;0
0;1484;46.7;98;297.6;308.4;0
0;1408;42.1;59;302.1;310.5;0
0;1555;39.5;147;298.9;308.4;0
0;1520;49.2;147;299.5;309.1;0
0;2099;19.3;101;298.5;309.7;0
0;1479;48.6;46;297.8;307.9;0
0;1435;48.0;10;299.4;310.5;0
0;1606;33.8;25;298.4;308.0;0
0;1610;32.3;91;301.8;310.6;0
0;1591;32.7;197;300.7;310.5;0
0;1375;52.7;76;299.2;310.3;0
0;1378;49.7;0;302.2;311.3;0
0;1629;33.0;138;297.0;308.1;0
0;1500;39.8;176;298.8;310.0;0
0;1578;34.6;156;298.0;309.9;0
0;1712;28.2;98;299.0;309.9;0
0;1616;47.3;104;300.3;309.4;0
0;1363;52.8;52;298.6;309.6;0
0;1430;44.4;70;298.2;307.9;0
0;1455;44.7;88;301.8;310.3;0
0;1372;55.8;150;297.2;308.1;0
0;1610;34.2;44;298.9;309.0;0
0;1522;28.5;18;300.9;310.7;0
0;1555;32.9;150;300.1;309.4;0
0;1539;33.6;154;302.6;310.5;0
0;1427;45.2;16;297.1;308.2;0
0;1548;38.6;59;301.3;310.3;0
0;1521;36.6;0;301.3;311.5;0
0;1772;25.1;176;301.0;312.2;0
0;1792;27.8;93;300.8;310.8;0
0;1347;50.8;36;300.2;309.6;0
0;1345;56.5;21;303.9;312.8;1
0;1526;40.3;20;298.3;308.4;0
0;1333;55.9;83;298.3;310.1;0
0;1466;39.8;26;302.1;311.4;0
0;1383;49.6;24;300.0;311.4;0
0;1498;43.4;56;300.8;311.3;0
0;1385;44.7;34;298.2;307.9;0
0;1683;27.8;127;301.5;310.5;0
0;1394;53.8;127;304.0;313.2;0
0;1557;34.9;119;301.2;310.8;0
0;1666;32.5;38;297.5;308.5;0
0;1483;39.9;147;303.1;311.3;0
0;1454;40.3;34;300.7;311.8;0
0;1490;45.3;24;301.5;311.1;0
0;1488;48.1;128;297.0;307.7;0
0;1677;31.4;148;302.5;310.2;0
0;1367;47.5;53;301.3;310.8;0
0;1858;25.8;156;297.4;308.4;0
0;1683;31.6;140;302.4;311.8;0
0;1417;42.0;129;300.2;309.5;0
0;1521;39.0;18;296.9;307.5;0
0;1462;41.8;27;298.0;308.1;0
0;1464;53.2;76;300.2;311.8;0
0;1383;53.6;2;301.1;310.5;0
0;1518;33.0;190;297.5;308.6;0
0;1448;44.2;164;297.8;307.7;0
0;1622;30.7;156;302.5;311.0;0
0;1528;41.2;25;298.0;308.7;0
0;1365;46.9;76;297.9;307.8;0
0;1459;46.5;44;303.6;312.7;0
0;1686;29.7;149;300.8;310.6;0
0;1448;40.1;209;300.3;310.3;0
0;1452;50.7;219;300.8;310.7;0
0;1671;30.0;15;302.1;311.0;0
1;1307;54.8;174;302.5;310.4;1
0;1565;33.9;132;300.9;310.8;0
0;1621;29.5;104;295.5;306.0;0
0;1596;35.8;68;301.8;311.3;0
0;1794;25.6;79;303.7;313.0;0
0;1602;37.2;215;298.0;308.2;0
0;1452;42.4;77;301.8;311.0;0
0;1480;42.4;17;298.0;308.4;0
0;1444;43.4;182;302.0;310.9;0
0;1731;28.5;100;297.0;307.7;0
0;2074;18.9;124;300.5;311.0;0
0;1578;34.8;81;301.5;310.6;0
0;1624;38.5;0;301.3;311.1;0
0;1573;32.1;76;302.0;310.5;0
0;1607;33.0;148;304.2;313.4;0
0;1389;50.3;127;298.6;309.5;0
0;1629;34.4;50;300.3;310.3;0
0;1332;37.8;3;297.2;308.2;0
0;1496;38.0;137;303.9;313.1;0
0;1486;46.5;131;302.3;311.5;0
0;1347;49.9;209;297.9;308.8;0
0;1429;54.4;102;297.7;308.5;0
0;1555;36.1;5;301.3;310.9;0
0;1498;43.2;2;298.9;310.2;0
0;1445;38.1;45;298.2;308.7;0
0;1613;33.0;166;298.8;309.5;0
0;1436;47.6;64;298.1;308.7;0
0;1384;48.7;2;300.4;310.6;0
0;1601;39.4;43;298.2;309.0;0
0;1416;44.2;101;297.5;308.9;0
0;1390;46.4;75;301.0;310.5;0
0;1463;41.9;89;302.3;311.7;0
0;1387;45.9;136;299.2;310.6;0
0;1578;39.3;158;303.4;312.7;0
0;1827;24.8;9;299.1;308.2;0
0;1457;48.0;129;302.5;311.5;0
0;1654;44.8;25;298.7;309.9;0
0;1388;42.1;0;303.4;312.0;0
0;1502;37.6;50;299.7;309.2;0
0;1484;43.2;33;296.1;306.8;0
0;1562;34.1;188;302.2;311.7;0
0;1638;38.3;38;298.1;308.0;0
0;1543;36.4;152;302.6;311.0;0
0;1566;34.4;167;302.0;310.9;0
0;1420;45.6;122;302.4;311.8;0
0;1536;40.9;22;300.7;311.4;0
0;1546;42.3;186;300.8;309.5;0
0;1568;35.6;127;300.4;310.3;0
0;1612;36.6;54;300.5;310.5;0
0;1635;31.1;62;299.8;309.1;0
0;1592;35.6;15;298.1;308.5;0
0;1533;37.5;116;298.4;309.3;0
0;1425;45.3;192;300.7;309.3;0
0;1405;44.8;189;302.9;312.2;0
0;1523;39.8;127;298.6;309.5;0
0;1542;36.7;154;299.0;310.2;0
0;1543;32.8;157;298.8;309.5;0
0;1452;47.7;18;300.6;310.2;0
0;1392;47.7;222;301.5;310.6;0
0;1880;44.7;196;297.1;308.4;0
0;1545;36.0;137;302.6;311.2;0
0;1617;30.7;21;301.0;310.9;0
0;1553;39.2;159;301.6;310.6;0
0;2033;22.8;150;298.5;309.5;0
0;1878;27.9;20;300.7;309.7;1
0;1394;51.9;90;301.1;311.2;0
0;1479;42.9;178;304.1;313.0;0
0;1554;34.4;79;300.8;310.6;0
0;1683;28.7;116;298.9;310.2;0
0;1452;44.7;98;303.5;312.7;0
0;1339;50.2;55;296.9;307.5;0
0;1443;46.4;210;301.7;309.9;0
1;1258;61.8;144;297.3;308.6;1
0;1368;63.7;92;301.4;310.7;0
0;1793;25.5;6;300.7;309.7;0
0;1967;20.9;92;297.4;308.4;0
0;1543;37.5;73;302.3;311.2;0
0;1735;26.6;56;298.1;309.0;0
0;1662;28.3;131;302.5;311.5;0
0;1606;41.6;157;300.0;310.3;0
0;2027;18.9;148;301.4;311.2;0
0;1511;35.4;160;300.2;311.6;0
0;1471;33.2;242;299.1;310.3;0
1;1341;51.0;174;303.0;311.3;1
0;1536;37.2;48;299.3;310.1;0
0;1483;44.4;44;298.3;309.1;0
0;1385;46.6;162;300.7;309.9;0
0;1390;49.8;12;297.2;308.6;0
0;1533;42.5;15;299.0;310.0;0
0;1414;42.5;76;299.1;308.3;0
0;1525;43.7;79;300.7;310.7;0
0;1539;32.3;123;300.8;310.7;0
0;1422;43.9;43;299.7;309.0;0
0;1457;41.3;59;299.7;310.7;0
0;1546;37.0;64;303.9;312.7;0
0;1465;48.7;59;295.6;306.1;0
1;1378;48.3;62;301.8;310.6;1
0;1843;25.3;215;299.2;308.7;0
0;2080;18.4;0;297.7;308.4;0
0;1523;37.5;73;300.5;311.4;0
0;1619;30.0;12;302.7;311.8;0
0;1422;49.8;13;296.8;308.0;0
0;1418;43.4;175;303.5;312.4;0
0;1403;48.4;65;297.6;309.5;0
0;1453;50.6;37;301.4;311.2;0
0;1558;50.1;187;299.7;309.1;0
0;1567;35.3;6;298.7;309.8;0
0;1251;29.9;120;300.7;309.5;0
0;1403;48.6;59;297.9;307.8;0
0;1624;34.4;0;302.5;310.9;0
0;1417;37.6;54;301.1;310.6;0
0;1381;50.2;198;297.1;308.6;0
0;1498;46.1;2;297.0;307.7;0
0;1894;21.1;161;298.4;308.9;0
0;1434;44.5;44;300.8;309.6;0
0;1630;30.3;134;297.4;308.7;0
0;1540;43.7;157;302.1;311.4;0
0;1429;42.5;16;297.3;308.5;0
0;1292;46.7;175;299.8;310.9;0
0;1501;45.2;106;299.0;310.0;0
0;1472;39.9;51;296.2;307.2;0
0;1452;44.4;5;297.9;308.5;0
0;1471;43.7;24;300.4;311.5;0
0;1748;25.1;160;298.3;308.0;0
0;1555;38.6;3;302.2;310.8;0
0;1434;44.0;206;299.0;310.3;0
0;1910;41.7;28;301.1;311.2;0
0;1617;45.8;46;298.0;309.5;0
0;1447;52.7;119;300.1;311.4;0
0;1418;46.5;12;300.9;310.7;0
0;1505;45.7;9;298.8;310.0;0
0;1522;40.3;110;303.5;312.5;0
0;1514;39.7;96;302.1;310.0;0
0;1593;36.5;188;297.9;309.9;0
0;1549;35.8;66;302.3;311.2;0
0;1486;41.3;41;297.2;308.6;0
0;1431;42.4;93;299.1;308.7;0
0;1558;39.7;54;300.5;311.9;0
0;1415;46.2;167;300.2;311.7;0
0;1486;38.9;137;300.7;310.9;0
0;1371;43.3;51;298.2;308.9;0
0;1416;38.1;142;300.6;309.5;0
0;1447;43.5;2;299.6;309.4;0
0;1366;45.1;96;298.1;308.2;0
0;1438;46.9;97;299.3;310.6;0
0;1525;42.5;168;301.5;310.5;0
0;1477;41.2;149;299.7;309.1;0
0;1809;21.9;185;298.9;310.2;0
0;1376;46.4;63;298.1;308.0;0
1;1447;46.6;145;299.2;308.4;0
0;1619;32.8;144;299.1;308.5;0
0;1585;38.7;33;298.1;308.9;0
0;1519;36.6;79;298.8;308.6;0
0;1755;26.7;25;300.5;312.0;0
0;1657;28.7;81;300.6;310.2;0
0;1573;34.2;204;302.4;310.8;0
0;1509;41.5;24;301.3;311.3;0
0;1413;58.2;166;301.1;311.1;0
0;1570;35.7;140;297.2;308.1;0
0;1459;42.6;0;299.7;309.3;0
0;1477;39.8;199;297.3;308.1;0
0;1479;36.8;34;302.2;311.4;0
0;1423;42.9;124;299.6;309.1;0
0;1413;48.0;141;300.5;309.7;0
0;1454;33.7;166;298.3;308.8;0
0;1370;50.1;166;302.5;312.1;0
0;1505;39.6;94;296.7;307.8;0
0;1456;47.8;161;302.0;310.7;0
0;1544;41.3;97;300.3;311.3;0
0;1551;33.4;156;302.3;311.0;0
0;1554;38.5;148;297.9;309.8;0
0;1553;40.9;49;298.1;310.1;0
0;1441;40.8;96;299.6;310.8;0
0;1496;45.1;5;299.0;310.1;0
0;1442;46.2;99;303.0;312.9;0
0;1534;41.0;192;301.7;311.0;0
0;1471;40.6;139;299.5;310.8;0
0;1478;47.6;21;298.2;308.4;0
0;1599;32.0;156;299.3;309.0;0
0;1385;46.2;172;300.9;310.9;0
0;1455;42.2;74;298.4;310.1;0
0;1540;40.9;175;299.2;310.6;0
0;1428;35.4;152;303.8;312.8;0
0;1420;45.9;159;303.6;312.5;0
0;1443;49.4;204;300.8;311.8;0
0;1538;36.7;2;297.5;308.6;0
0;1563;34.4;0;299.4;309.3;0
0;1558;31.4;5;299.3;310.9;0
0;1369;43.5;158;298.2;308.4;0
0;1488;39.9;160;300.2;311.6;0
0;1471;45.5;54;298.2;308.7;0
0;1408;47.6;123;300.3;311.7;0
0;1594;31.3;51;300.0;309.6;0
0;1439;42.5;179;301.3;311.0;0
0;1385;50.5;195;301.3;310.9;0
0;1499;38.4;205;300.7;310.7;0
0;1394;48.8;192;300.7;309.6;0
0;1501;43.0;91;299.0;310.2;0
0;1668;31.9;127;298.5;308.5;0
0;1942;20.5;145;302.0;309.8;0
0;1352;52.3;62;302.6;312.3;0
0;1881;21.9;103;303.5;312.9;0
0;1514;45.3;48;300.2;310.3;0
0;1430;53.0;185;300.2;311.6;0
0;1540;43.2;96;303.4;312.3;0
0;1695;30.2;185;300.9;310.8;0
0;1755;25.9;197;302.5;311.5;0
0;1678;34.7;203;300.3;310.2;0
0;1452;44.1;59;300.0;311.2;0
0;1279;53.1;9;298.3;308.1;0
0;1456;45.5;63;298.3;308.3;0
0;1602;36.8;46;298.7;308.5;0
0;1616;30.7;84;301.4;310.6;0
0;1510;36.0;150;297.3;308.1;0
0;1403;47.5;106;302.0;310.7;0
0;1574;41.5;113;300.4;309.1;0
0;1553;32.4;190;298.8;308.5;0
0;1523;38.5;181;297.7;308.2;0
0;1975;15.8;17;301.0;310.9;0
0;1364;46.3;24;301.4;310.7;0
0;1377;52.8;71;303.5;313.0;0
2;1374;59.8;228;301.9;311.1;1
0;1579;34.4;0;297.3;307.9;0
0;2003;40.2;138;300.9;311.0;0
0;1413;38.0;39;301.8;311.0;0
0;1447;48.8;17;300.6;310.2;0
0;1585;31.8;159;301.4;311.0;0
0;1487;36.7;143;298.8;309.8;0
0;1744;38.9;94;300.5;311.6;0
0;1409;41.3;148;298.7;309.7;0
0;1523;39.2;139;298.8;309.1;0
0;1246;64.0;42;300.1;311.4;0
0;1383;46.6;47;297.4;308.5;0
0;1514;44.7;146;297.2;307.9;0
0;1944;23.5;159;303.5;311.3;0
0;1756;35.3;13;301.8;311.0;0
0;1456;46.6;198;303.8;312.3;0
0;1664;30.6;90;297.3;308.4;0
0;1560;35.1;155;300.9;310.2;0
0;1372;33.5;33;297.7;307.2;0
0;1415;48.7;91;300.7;310.8;0
0;1518;40.1;126;299.2;310.1;0
0;1477;46.6;15;302.2;311.3;0
0;1435;49.3;123;300.3;310.7;0
0;1465;41.4;158;301.3;310.7;0
0;2183;19.1;39;302.9;312.5;0
0;1471;44.9;150;300.0;309.4;0
0;1493;40.7;124;303.8;312.8;0
0;1540;44.0;166;300.5;310.8;0
0;1486;38.6;0;300.6;310.9;0
0;1578;37.6;71;298.5;309.4;0
0;1617;34.9;39;297.5;308.3;0
0;1524;39.4;45;301.0;310.9;0
0;1474;47.0;173;297.2;308.1;0
0;1597;34.6;0;300.5;311.5;0
0;1618;38.0;92;304.0;313.1;0
0;2008;20.7;119;299.4;308.7;0
0;1372;44.7;125;300.5;310.8;0
0;1476;43.4;98;298.9;310.1;0
0;1494;38.5;65;300.5;311.5;0
0;1340;48.0;60;302.5;311.9;0
0;1546;28.3;110;300.1;309.1;0
0;1565;48.1;137;297.0;308.4;0
0;1383;50.3;108;299.3;308.8;0
0;1441;42.7;156;300.2;311.7;0
0;1359;49.7;7;300.3;310.3;0
0;1463;37.8;145;299.4;309.2;0
0;1449;48.9;102;302.4;310.1;0
0;1653;32.9;36;302.3;310.1;0
0;1455;39.5;141;302.0;310.5;0
0;1448;46.3;14;300.3;311.7;0
0;1633;31.7;82;299.8;309.6;0
0;1482;43.6;208;301.8;311.2;0
0;1429;43.7;146;302.3;310.9;0
0;1523;38.5;182;302.2;312.0;0
0;1524;42.4;193;298.2;309.2;0
0;1564;36.8;110;299.6;310.8;0
0;1570;41.2;61;299.2;308.5;0
0;2129;19.2;148;297.8;308.5;0
0;1413;42.0;141;297.5;308.0;0
0;1785;27.0;203;302.6;310.6;0
0;1430;47.7;89;298.0;308.0;0
0;1384;44.4;113;300.1;310.2;0
0;1601;34.8;62;299.6;310.1;0
0;1459;43.3;34;297.6;308.3;0
0;1499;41.4;135;297.0;308.3;0
0;1653;32.9;0;300.5;310.5;0
0;1496;48.1;215;297.1;308.1;0
0;1459;46.2;33;297.9;309.1;0
0;1386;41.1;57;300.8;311.2;0
0;1491;38.4;63;297.4;308.4;0
0;1568;35.1;38;300.1;311.4;0
0;1461;42.4;96;302.2;311.4;0
0;1426;43.7;129;303.0;312.4;0
0;1559;36.9;6;298.7;309.7;0
0;1723;44.1;206;300.0;311.2;0
0;1434;45.9;23;300.3;311.8;0
0;1563;36.8;48;301.4;311.3;0
0;1465;43.5;68;301.1;310.8;0
0;1393;45.3;98;298.9;309.1;0
0;1490;44.9;93;299.4;310.8;0
0;1420;50.1;21;302.2;311.5;0
0;1591;41.7;29;298.3;308.0;0
0;1374;46.6;95;300.3;309.1;0
0;1478;49.6;5;300.6;310.6;0
0;1442;43.4;129;297.8;309.4;0
0;1504;43.0;64;297.9;309.1;0
0;1488;65.3;141;302.2;311.2;0
0;1479;52.3;148;297.5;308.5;0
0;1662;30.6;96;298.2;308.2;0
0;1438;39.3;44;302.2;310.8;0
0;1364;44.4;117;300.5;311.5;0
0;1533;40.2;110;300.1;309.2;0
0;1685;28.7;124;297.0;307.7;0
0;1359;54.6;106;297.2;308.3;0
0;1353;49.8;76;298.2;308.9;0
0;1477;44.5;156;301.7;310.4;0
0;1556;36.6;2;301.4;310.6;0
0;1531;36.0;92;301.1;311.7;0
0;1379;60.4;111;298.4;308.8;0
0;1346;49.1;58;301.0;312.2;0
0;1445;46.6;127;299.8;309.5;0
0;1523;41.0;96;298.1;308.0;0
0;1553;36.9;162;297.3;308.6;0
0;1429;51.1;154;300.3;311.6;0
0;1539;38.6;57;301.5;310.8;0
0;1735;28.7;94;300.0;309.6;0
0;1336;49.4;66;298.2;308.9;0
0;1497;37.7;146;298.1;308.4;0
0;1779;23.8;154;299.7;309.4;0
0;1311;55.0;89;299.9;309.5;0
0;1564;38.7;7;300.2;311.7;0
0;1640;37.6;118;301.0;311.0;0
0;1998;20.2;210;301.5;310.4;0
0;1421;41.8;98;301.0;310.7;0
0;1670;26.8;14;299.4;309.2;0
0;1681;29.1;158;299.9;311.3;0
0;1608;33.1;84;300.7;310.6;0
0;1434;42.4;57;300.7;310.5;0
0;1609;31.6;174;297.6;309.6;0
0;1515;40.1;17;298.4;308.4;0
0;1456;44.3;48;302.4;311.9;0
0;1283;49.6;142;298.3;308.5;0
1;1396;52.6;212;297.3;308.2;1
0;1676;29.2;103;300.5;312.0;0
0;1453;42.5;9;297.3;308.5;0
0;1553;37.9;68;300.4;309.6;0
0;1394;48.1;89;299.1;308.8;0
0;1540;39.8;87;298.2;307.7;0
0;1727;35.8;57;297.5;309.6;0
0;1433;49.9;7;299.1;308.6;0
0;1707;31.6;195;298.9;309.6;0
0;1567;33.9;94;298.3;309.4;0
0;1430;43.7;124;297.2;308.3;0
0;1560;35.1;67;297.4;308.4;0
0;1380;44.1;197;297.3;308.0;0
0;1641;35.8;179;295.7;306.4;0
0;1439;44.1;144;298.3;308.6;0
0;1686;29.9;97;297.3;308.4;0
0;1479;38.3;38;296.1;306.9;0
0;1490;34.1;11;298.0;307.7;0
0;1405;47.0;103;298.3;307.7;0
0;1622;37.3;9;299.4;309.1;0
0;1484;38.7;15;302.7;312.2;0
0;1557;37.2;96;296.7;307.4;0
0;1363;39.5;17;299.0;310.3;0
0;1520;37.0;146;300.4;309.7;0
0;1563;38.0;30;298.0;307.6;0
0;1574;33.8;2;297.8;309.8;0
0;1382;36.1;50;297.9;309.0;0
0;1556;31.0;180;300.6;310.7;0
0;1556;38.0;167;302.2;312.0;0
0;1446;43.9;5;300.4;311.0;0
0;1517;44.4;174;299.0;310.4;0
0;1416;45.9;35;301.0;310.7;0
0;1467;37.3;181;299.8;309.1;0
0;1605;36.1;80;297.3;308.6;0
0;1357;50.0;134;299.4;309.1;0
0;1419;45.2;152;297.2;308.1;0
0;1422;44.8;175;299.7;309.2;0
0;1376;49.2;210;302.1;310.5;0
0;1772;27.7;209;299.0;308.8;0
0;1447;45.7;155;297.5;309.4;0
0;1447;31.4;174;302.3;311.1;0
0;1553;34.6;186;297.4;308.5;0
0;1648;28.3;206;298.8;308.7;0
0;1645;30.6;127;297.4;308.3;0
0;1592;35.7;111;301.1;309.8;0
0;1569;37.5;121;302.4;311.3;0
0;1525;42.9;193;297.7;308.8;0
0;1489;39.5;112;300.6;309.4;0
0;1306;55.5;42;301.2;310.4;0
0;1505;37.1;60;302.2;310.9;0
0;1475;42.5;104;297.2;308.5;0
0;1528;31.1;23;298.1;307.8;0
0;1453;42.1;18;302.4;311.8;0
0;1449;45.4;147;299.7;309.2;0
0;1432;47.2;107;303.7;312.8;0
0;1414;49.0;7;300.8;311.7;0
0;1466;46.1;104;302.4;311.8;0
0;1474;40.8;198;301.1;311.0;0
0;1463;45.1;196;300.0;309.6;0
0;1397;34.9;80;300.9;310.6;0
0;1510;38.2;11;298.4;308.2;0
0;1472;47.4;35;298.9;309.6;0
0;1574;32.4;202;299.3;309.2;0
0;1458;47.8;204;297.2;308.1;0
0;1433;43.7;81;302.4;311.5;0
0;1550;40.5;114;300.9;311.2;0
0;1412;50.3;197;302.3;311.8;0
0;1480;45.4;91;302.2;310.7;0
0;1511;35.7;125;300.6;309.8;0
0;1441;43.4;156;300.9;311.0;0
0;1695;44.2;108;301.3;310.4;0
0;1526;40.7;20;299.0;309.2;0
0;1527;42.7;44;298.9;308.2;0
0;1731;28.0;106;297.6;308.6;0
0;1634;30.6;50;302.1;311.5;0
0;1448;47.9;161;297.4;309.0;0
0;1459;46.6;168;296.8;307.6;0
0;1793;24.8;145;298.7;309.8;0
0;1354;49.4;103;297.7;308.8;0
0;1446;42.8;46;300.5;309.4;0
0;1350;55.8;186;297.3;308.5;0
0;1506;36.7;125;299.1;308.5;0
0;1315;48.9;40;301.9;310.9;0
0;1544;39.1;145;296.9;307.7;0
0;1351;26.3;0;300.3;311.8;0
0;1408;44.5;79;298.2;308.9;0
0;1469;37.7;201;297.3;308.8;0
0;1442;47.0;152;298.8;309.9;0
0;1469;34.7;189;300.1;311.5;0
0;1786;23.7;7;300.2;310.2;0
0;1442;42.8;63;298.1;308.1;0
0;1445;44.6;178;297.5;308.5;0
0;1528;41.5;193;300.3;311.7;0
0;1458;38.8;184;302.5;312.1;0
0;1329;60.7;97;298.3;308.4;0
0;1550;35.2;94;298.4;308.1;0
0;1650;30.5;96;298.8;308.5;0
0;1271;52.7;75;297.3;307.9;0
0;1553;39.0;64;301.3;310.9;0
0;1453;45.5;21;298.0;308.5;0
0;1334;54.4;116;301.9;311.0;0
0;1387;23.0;242;300.6;309.5;0
0;1459;46.7;90;301.3;310.4;0
0;1457;41.1;197;298.5;308.4;0
0;1331;46.4;22;299.5;309.4;0
0;1529;38.1;24;300.1;310.4;0
0;1518;36.8;144;298.4;309.6;0
0;1450;44.3;141;299.0;309.0;0
0;1384;49.8;81;303.5;312.3;0
0;1642;29.3;2;301.5;310.6;0
0;1465;39.5;64;300.7;310.6;0
0;1525;44.9;0;297.4;308.6;0
0;1622;52.4;7;302.2;311.4;0
0;1435;49.0;113;300.5;312.0;0
0;1544;42.5;4;297.3;308.6;0
0;1445;41.3;0;300.7;310.4;0
0;1698;41.0;9;300.3;311.8;0
0;1448;37.8;63;300.4;309.8;0
0;1397;52.3;28;298.2;308.8;0
0;1487;43.0;111;298.0;307.6;0
0;1591;37.6;119;302.6;311.0;0
0;1359;49.9;186;297.4;308.8;0
0;1443;51.6;211;300.7;310.7;0
0;1450;43.9;26;297.7;308.9;0
0;1695;32.5;52;299.5;310.0;0
0;1479;43.3;137;300.9;310.7;0
0;1621;32.6;5;303.2;311.5;0
0;1495;42.4;136;297.5;308.5;0
0;1520;38.0;160;300.1;311.4;0
0;1463;48.2;18;301.0;310.8;0
0;1331;49.5;143;300.2;311.4;0
0;1622;32.3;14;300.4;311.4;0
0;1422;46.8;5;297.6;308.6;0
0;1424;50.0;114;297.6;308.3;0
0;1429;47.3;192;300.2;310.2;0
0;1381;49.8;155;301.2;310.4;0
0;1688;32.0;11;298.2;308.3;0
0;1564;33.4;183;300.2;309.4;0
0;1431;49.7;33;300.5;311.9;0
0;1390;42.1;106;299.1;308.6;0
0;1460;40.5;101;300.5;309.3;0
0;1419;46.8;142;301.0;311.0;0
0;1548;33.8;0;300.1;309.6;0
0;1446;49.9;96;297.3;308.0;0
0;1648;28.6;47;299.1;308.3;0
0;1429;48.0;119;300.3;311.8;0
0;1711;28.9;188;299.2;308.4;0
0;1365;47.3;107;301.0;312.3;0
0;1593;32.2;187;300.2;309.9;0
0;1443;41.8;144;296.3;307.1;0
0;1827;24.4;172;299.1;310.6;0
0;1491;42.1;103;297.4;308.6;0
0;1419;46.6;149;300.8;309.5;0
0;1386;53.3;59;302.2;311.1;0
